,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1012,Calendula,no'iana,subsp.,sinuata,(Boiss. et Gaill.) Lanza
1017,Calendula,officinalis,,,L. 
1019,Calendula,palaestina,,,Boiss. 
1021,Calendula,persica,,,CA. Meyer 
1024,Calendula,sinuata,,,Boiss. et Gaill. 
1028,Calendula,tripterocarpa,,,Rupr. 
1030,Calhpeltis,,,,Stev.
1032,Calhpeltis,aperta,,,Boiss.
1034,Calhpeltis,cucullaris,,,(L.) Rothm.
1038,Calhpeltis,cucullaris,fa,aperta,Boiss.
1040,Calhpeltis,factorovskyi,,,(Eig) Ehrendorfer
1043,Calotropis,,,,R. Br.
1046,Calotropis,procera,,,(Willd.) R. Br.
1050,Calystegia,,,,R. Br.
1053,Calystegia,sepium,,,(L.) R. Br.
1057,Calystegia,silvatica,,,(Kit.) Griseb.
1060,Calystegia,sylvestris,,,(Willd.) Roem. et Schult.
1065,Campanula,,,,L.
1067,Campanula,athoa,,,Boiss. et Heldr.
1071,Campanula,camptoclada,,,Boiss.
1073,Campanula,cecilii,,,Rech. fil. et Schiman-Czeika
1078,Campanula,cymbalaria,,,Sm. in Sibth. et Sm.
1084,Campanula,damascena,,,Labili.
1086,Campanula,erinus,,,L.
1088,Campanula,euclasta,,,Boiss.
1090,Campanula,fastigiata,,,Léon Dufour in A. DC.
1096,Campanula,flaccidula,,,Vatke
1098,Campanula,hierosolymitana,,,Boiss.
1100,Campanula,hispidissima,,,Hochst.
1102,Campanula,kotschyana,,,"A., DC."
1105,Campanula,libanotica,,,A. DC.
1108,Campanula,pentagonia,,,L.
1110,Campanula,peregrina,,,L.
1112,Campanula,pestalozzae,,,Boiss.
1114,Campanula,phrygia,,,Jaub. et Spach
1118,Campanula,propinqua,,,Fisch et Mey.
1123,Campanula,propinqua,var.,grandiflora,Milne-Redhead KÔtiVELLE
1126,Campanula,rapunculus,,,L. 
1129,Campanula,rapunculus,var.,lambertiana,Boiss. 
1132,Campanula,rapunculus,var.,spiciformis,Boiss. 
1134,Campanula,retrorsa,,,Labili. 
1136,Campanula,reuteriana,,,Boiss. et Bal. 
1140,Campanula,reuteriana,,,Boiss. et Bal. p.p. 
1145,Campanula,rigida,,,(Willd.) Boiss. 
1148,Campanula,russeliana,,,Roemer et Schultes 
1152,Campanula,sidoniensis,,,Boiss. et Bl.  
1157,Campanula,singarensis,,,Boiss. et Haussk. 
1161,Campanula,speculum-veneris,,,L. 
1163,Campanula,stellaris,,,Boiss. 
1165,Campanula,stricta,,,L. 
1168,Campanula,stricta,var.,libanotica,(A. DC.) Boiss. 
1172,Campanula,strigosa,,,Banks et Sol.  
1177,Campanula,sulphurea,,,Boiss. 
1179,Campanula,trachelium,,,L. 
1182,Campanula,trachelium,subsp.,athoa,(Boiss. et Heldr.) Hayek 
1188,Campanula,trachelium,var.,orientalis,Boiss. 
1190,Campanula,trichopoda,,,Boiss. 
1192,Campanula,tubulosa,,,(Boiss.) Engler 
1195,Campanula,virgata,,,Labili. 
1197,Carbenia,,,,Adans.
1199,Carbenia,benedicta,,,(L.) Adans. 
1202,Cardopatium,,,,Juss. 
1204,Cardopatium,corymbosum,,,(L.) Pers. 
1207,Carduncellus,,,,Adans. 
1209,Carduncellus,caeruleus,,,(L.) C. Presl  
1214,Carduus,,,,L. 
1216,Carduus,acarna,,,L. 
1218,Carduus,acicularis,,,Bertol. 
1220,Carduus,arabicus,,,Jacq. ex Murray 
1224,Carduus,argentatus,,,L. 
1227,Carduus,argentatus,var.,polycephalus,Post 
1229,Carduus,diacantha,,,Labili. 
1231,Carduus,getulus,,,Pomel  
1234,Carduus,lanceolatus,,,L. 
1236,Carduus,lappaceus,,,Bieb. 
1238,Carduus,leucographus,,,L. 
1240,Carduus,marianus,,,L. 
1242,Carduus,nutans,,,L. s.l.  
1247,Carduus,nutans,var.,armenus,Boiss. 
1249,Carduus,pycnocephalus,,,L. 
1252,Carduus,pycnocephalus,var.,arabicus,(Jacq. ex Murray) Boiss. 
1257,Carduus,syriacus,,,L. 
1259,Carduus,thoermeri,,,Weinm.
1262,Carduus,thoermeri,subsp.,armenus,(Boiss.) Kazmi  
1266,Carduus,tinctorius,,,(L.) Falk  
1270,Carduus,vulgaris,,,Savi 
1272,Carlina,,,,L. 
1274,Carlina,corymbosa,,,L.
1277,Carlina,corymbosa,var.,libanotica,(Boiss.) Boiss. 
1280,Carlina,curetum,,,Heldr. ex Hal.
1285,Carlina,curetum,subsp.,orientalis,Meusel et Kâstner
1289,Carlina,hispanica,,,Lam.
1292,Carlina,hispanica,subsp.,galilaea,Meusel et Kàstner
1296,Carlina,involucrata,,,Poiret
1299,Carlina,involucrata,subsp.,libanotica,(Boiss.) Meusel et Kastner
1304,Carlina,kurdica,,,Meusel et Kâstner
1308,Carlina,lanata,,,L.
1310,Carlina,libanotica,,,Boiss.
1312,Carlina,oligocephala,,,Boiss. et Kotschy
1317,Carlina,oligocephala,subsp.,oligocephala,
1318,Carthamus,,subsp.,oligocephala,L.
1320,Carthamus,armenus,,,Willd.
1322,Carthamus,caeruleus,,,L.
1324,Carthamus,corymbosus,,,(L.) L.
1327,Carthamus,dentatus,,,Vahl
1329,Carthamus,flavescens,,,auct. non Willd.
1333,Carthamus,flavescens,,,Willd.
1335,Carthamus,glaucus,,,M. Bieb.
1339,Carthamus,glaucus,var.,tennis,(Boiss. et Bl.) Boiss.
1344,Carthamus,nitidus,,,Boiss.
1346,Carthamus,oxyacanthus,,,M. Bieb.
1349,Carthamus,persicus,,,Willd.
1351,Carthamus,tenuis,,,(Boiss. et Bl.) Bornm.
1357,Carthamus,tenuis,subsp.,foliosus,(Boiss.) Hanelt
1361,Carthamus,tenuis,subsp.,tenuis,
1362,Carthamus,tinctorius,,,L.
1365,Carthamus,tinctorius,var.,oxyacantha,Alef.
1367,Catananche,,var.,oxyacantha,L.
1369,Catananche,lutea,,,L.
1371,Celsia,,,,L.
1373,Celsia,agrimoniaefolia,,,C. Koch
1376,Celsia,alpina,,,Boiss. et Ky
1380,Celsia,aureiformis,,,Murb.
1382,Celsia,glandulifera,,,Post
1384,Celsia,glandulosa,,,Bouché
1386,Celsia,heterophylla,,,Desf.
1388,Celsia,horizontalis,,,auct. non Moench
1392,Celsia,joannis,,,Bordz.
1394,Celsia,lanceolata,,,Vent.
1396,Celsia,layardii,,,Bail ex Turrill
1400,Celsia,orientalis,,,L.
1402,Celsia,pinetorum,,,Boiss.
1404,Centaurea,,,,L.
1406,Centaurea,ainetensis,,,Boiss.
1408,Centaurea,alata,,,Lam.
1410,Centaurea,ammocyanus,,,Boiss.
1412,Centaurea,araneosa,,,Boiss.
1414,Centaurea,arifolia,,,Boiss.
1416,Centaurea,axillaris,,,Willd.
1418,Centaurea,babylonica,,,(L.) L.
1421,Centaurea,balsamita,,,Lam.
1423,Centaurea,balsamitoides,,,Post
1425,Centaurea,behen,,,L.
1427,Centaurea,blancheana,,,Mouterde NOUVELLE
1430,Centaurea,bruguieriana,,,(DC.) Hand.-Mazz.
1434,Centaurea,bruguieriana,subsp.,bruguieriana ,
1435,Centaurea,calcitrapa,,,L 
1437,Centaurea,carduiformis,,,DC.
1440,Centaurea,carduiformis,var.,thrinciifolia,(DC.) Wagenitz  
1444,Centaurea,cassia,,,Boiss. 
1446,Centaurea,cerinthifolia,,,Sm. in Sibth. ex Boiss. 
1452,Centaurea,cheiracantha,,,Fenzl ex Boiss. 
1456,Centaurea,cheirolopha,,,(Fenzl) Wagenitz 
1459,Centaurea,coronopifolia,,,Lam. 
1461,Centaurea,crocodylioides,,,Boiss. 
1463,Centaurea,crocodylium,,,L. 
1466,Centaurea,crocodylium,var.,crocodylioides,(Boiss.) Boiss. 
1469,Centaurea,crupinastrum,,,Moris 
1471,Centaurea,cyanoides,,,Berg et Wahlenb. 
1475,Centaurea,cyanus,,,L. 
1477,Centaurea,damascena,,,Boiss. 
1479,Centaurea,delbesiana,,,Arènes 
1481,Centaurea,depressa,,,M. Bieb 
1484,Centaurea,drabifolia,,,Sibth. et Sm.
1489,Centaurea,drabifolia,subsp.,libanotica,(Boiss.) Wagenitz 
1492,Centaurea,dumulosa,,,Boiss.  • 
1495,Centaurea,eryngioides,,,Lam. 
1498,Centaurea,eryngioides,subsp.,ainetensis,(Boiss.) Bornm.  
1503,Centaurea,eryngioides,var.,ainetensis,(Boiss.) Boiss. 
1507,Centaurea,eryngioides,var.,brachyacantha,Boiss. 
1510,Centaurea,eryngioides,var.,kasiunensis,Bornm. 
1512,Centaurea,gentyi,,,Thiéb. 
1514,Centaurea,handelii,,,Wagenitz 
1516,Centaurea,hermonis,,,Boiss. 
1518,Centaurea,heterocarpa,,,Boiss. et Gaill. ex Boiss. 
1524,Centaurea,hololeuca,,,Boiss. 
1526,Centaurea,hyalolepis,,,Boiss. 
1528,Centaurea,iberica,,,Trev. ex Sprengel 
1533,Centaurea,iberica,var.,hermonis,(Boiss.) Boiss. 
1537,Centaurea,iberica,var.,meryonis,(DC.) Boiss. 
1540,Centaurea,jacea,,,L.
1543,Centaurea,jacea,var.,cassia,(Boiss.) Briq. 
1546,Centaurea,laxa,,,Boiss. et Hausskn. in Boiss. 
1552,Centaurea,leptocephala,,,Boiss. 
1554,Centaurea,longispina,,,(Post) Wagenitz 
1557,Centaurea,meryonis,,,DC.  
1560,Centaurea,mesopotamica,,,Bornm. 
1562,Centaurea,microcnicus,,,Reese et Sam. in Rech. fil.
1569,Centaurea,mouterdei,,,Wagenitz 
1571,Centaurea,myriocephala,,,Schultz Bip. ex Boiss. 
1576,Centaurea,obtusifolia,,,(Boiss. et Hausskn.)
1580,Centaurea,Wagenitz ,,,
1581,Centaurea,onopordifolia,,,Boiss.  
1584,Centaurea,pallescens,,,Delile  
1588,Centaurea,pallescens,var.,hyalolepis,(Boiss.) Boiss. 
1591,Centaurea,pergamacea,,,DC.  
1594,Centaurea,phyllocephala,,,Boiss. 
1596,Centaurea,postii,,,Boiss. 
1598,Centaurea,procurrens,,,Sieb. ex Sprengel 
1602,Centaurea,pseudosinaica,,,Mouterde non Czerep. 
1606,Centaurea,ptosimoppapa,,,Hayek 
1608,Centaurea,pulchella,,,auct. fl. or. non Ledeb. 
1614,Centaurea,pygmaea,,,(DC.) Benth. in Benth. et Hook. 
1621,Centaurea,reducta,,,Wagenitz 
1623,Centaurea,regia,,,Boiss.
1626,Centaurea,regia,subsp.,regia ,
1627,Centaurea,rigida,,,Banks et Sol.  
1633,Centaurea,rigida,var.,schizophylla,(Nâbêlek) Wagenitz
1636,Centaurea,schizophylla,,,Nâbëlek  
1639,Centaurea,simulans,,,Wagenitz 
1641,Centaurea,sinaica,,,DC.  
1644,Centaurea,solstitialis,,,L.
1647,Centaurea,solstitialis,subsp.,solstitialis ,
1648,Centaurea,speciosa,,,Boiss. 
1650,Centaurea,spicata,,,Boiss. 
1652,Centaurea,squarrosa,,,Willd. non Roth. 
1656,Centaurea,stramenticia,,,Hand.-Mazz. 
1658,Centaurea,thrinciifolia,,,DC.  
1661,Centaurea,trachonitica,,,Post 
1663,Centaurea,triumfettii,,,AU.  
