,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1546,Centaurea,laxa,,,Boiss. et Hausskn. in Boiss. 
1554,Centaurea,longispina,,,(Post) Wagenitz 
1560,Centaurea,mesopotamica,,,Bornm. 
1562,Centaurea,microcnicus,,,Reese et Sam. in Rech. fil.
1569,Centaurea,mouterdei,,,Wagenitz 
1580,Centaurea,Wagenitz ,,,
1581,Centaurea,onopordifolia,,,Boiss.  
1584,Centaurea,pallescens,,,Delile  
1596,Centaurea,postii,,,Boiss. 
1598,Centaurea,procurrens,,,Sieb. ex Sprengel 
1606,Centaurea,ptosimoppapa,,,Hayek 
1621,Centaurea,reducta,,,Wagenitz 
1623,Centaurea,regia,,,Boiss.
1626,Centaurea,regia,subsp.,regia ,
1627,Centaurea,rigida,,,Banks et Sol.  
1633,Centaurea,rigida,var.,schizophylla,(Nâbêlek) Wagenitz
1639,Centaurea,simulans,,,Wagenitz 
1641,Centaurea,sinaica,,,DC.  
1644,Centaurea,solstitialis,,,L.
1647,Centaurea,solstitialis,subsp.,solstitialis ,
1648,Centaurea,speciosa,,,Boiss. 
1650,Centaurea,spicata,,,Boiss. 
1661,Centaurea,trachonitica,,,Post 
1663,Centaurea,triumfettii,,,AU.  
1671,Centaurea,verutum,,,L. 
1677,Centaurea,virgata,,,Lam. 
1680,Centaurea,virgata,var.,squarrosa,Boiss. 
1683,Centaurea,virgata,var.,virgata ,
1684,Centaurium,,var.,virgata ,Hill 
1686,Centaurium,erythraea,,,Rafin. 
1689,Centaurium,erythraea,var.,laxum,(Boiss.) Moût.  
1700,Centaurium,erythraea,var.,var.,
1701,Centaurium,erythraea,var.,sanguineum,(Mab.) Greuter 
1704,Centaurium,maritimum,,,L. 
1708,Centaurium,pulchellum,,,(Sw.) Druce 
1714,Centaurium,spicatum,,,(L.) Fritsch 
1717,Centaurium,tenuiflorum,,,(Hoffmanns et Link)
1721,Centaurium,Fritsch ,,,
1738,Centauserratula,x.,,,mouterdei Arènes 
1741,Centranthus,,,,DC.
1743,Centranthus,longinorus,,,Stev.
1746,Centranthus,longinorus,var.,latifolius,Boiss.
1751,Cephalaria,,,,Schrader
1753,Cephalaria,amana,,,Rech. fil.
1756,Cephalaria,cedrorum,,,Mouterde
1758,Cephalaria,dipsacoides,,,Boiss. et Bal.
1763,Cephalaria,dipsacoides,var.,libanotica,Boiss.
1765,Cephalaria,joppensis,,,(Reichenb.) Coult.
1772,Cephalaria,kesruanica,,,Mouterde
1781,Cephalaria,setosa,,,Boiss. et Hohen.
1785,Cephalaria,stellipilis,,,Boiss.
1787,Cephalaria,syriaca,,,(L.) Schrader
1791,Cephalaria,syriaca,subsp.,phoeniciaca,Bobr.
1794,Cephalaria,syriaca,var.,boissieri,(Reut.) Boiss.
1798,Cephalaria,syriaca,var.,sessile,Boiss.
1800,Cephalorrhynchus,,var.,sessile,Boiss.
1808,Cephalorrhynchus,tuberosus,,,(Stev.) Schchian
1811,Cerinthe,,,,L.
1813,Cerinthe,major,,,L.
1815,Cerinthe,minor,,,L.
1819,Cerinthe,palaestina,,,Eig et Sam.
1829,Chamaemelum,,,,Miller
1843,Chamaemelum,mixtum,,,(L.) AH.
1872,Chardinia,,,,Desf.
1874,Chardinia,orientalis,,,(L.) O. Kuntze
1898,Chondrilla,,,,L.
1900,Chondrilla,juncea,,,L.
1904,Chrysanthemum,,,,L.
1912,Chrysanthemum,coronarium,,,L.
1917,Chrysanthemum,myconis,,,L. 
1920,Chrysanthemum,myconis,var.,bicolor,(Guss.) Hayek 
1926,Chrysanthemum,segetum,,,L. 
1933,Cicendia,,,,Adans. 
1935,Cicendia,filiformis,,,(L.) Delarbre 
1938,Cicerbita,,,,Wallr.  
1945,Cicerbita,mulgedioides,,,(Schultz Bip. ex Vis. et Pané.) Beauverd 
1953,Cichorium,,,,L. 
1962,Cichorium,intybus,,,L. 
1964,Cichorium,pumilum,,,Jacq. 
1966,Cionura,,,,Griseb. 
1968,Cionura,erecta,,,(L.) Griseb. 
1971,Cirsium,,,,Miller 
1976,Cirsium,amani,,,Post 
1982,Cirsium,creticum,,,(Lam.) d'Urv.
1986,Cirsium,creticum,subsp.,gaiUardotii,(Boiss.) Davis et Parris   '  
2004,Cirsium,lappaceum,,,(Bieb.) Fischer 
2008,Cirsium,lappaceum,var.,hermonis,Boiss. 
2010,Cirsium,libanoticum,,,DC. 
2012,Cirsium,phyllocephalum,,,Boiss. et Bl. in Boiss. 
2021,Cirsium,siculum,,,Sprengel 
2026,Cirsium,vulgare,,,(Savi) Tenore 
2032,Cistanche,,var.,araneosum,Hoffmannsegg et Link 
2036,Cistanche,phelipaea,,,(L.) Coutinho 
2039,Cistanche,salsa,,,(C.A. Meyer) Beck 
2046,Cistanche,tubulosa,,,(Schenk) R. Wight 
2050,Citrullus,,,,Schrader ex Eyck. et Zeyh. 
2056,Citrullus,colocynthis,,,(L.) Schrader 
2066,Cnicus,,,,L. 
2068,Cnicus,benedictus,,,L. 
2081,Convolvulus,,,,L. 
2085,Convolvulus,althaeoides,,,L. 
2088,Convolvulus,althaeoides,var.,italicus,(Roem. et Schult.) Halàcsy  
2097,Convolvulus,arvensis,,,L. 
2099,Convolvulus,betonicifolius,,,Mill. 
2101,Convolvulus,cantabrica,,,L. 
2103,Convolvulus,cassius,,,Sam. ex Rech.  fil. 
2108,Convolvulus,coelesyriacus,,,Boiss. 
2114,Convolvulus,dorycnium,,,L. 
2117,Convolvulus,dorycnium,subsp.,oxysepalus,(Boiss.) Rech.  fil. 
2124,Convolvulus,elegantissimus,,,Mill. 
