,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1598,Centaurea,simulans,,,Wagenitz 
1600,Centaurea,sinaica,,,DC.
1602,Centaurea,solstitialis,,,L.
1605,Centaurea,solstitialis,subsp.,solstitialis ,
1606,Centaurea,speciosa,,,Boiss. 
1608,Centaurea,spicata,,,Boiss. 
1618,Centaurea,trachonitica,,,Post 
1620,Centaurea,triumfettii,,,AU.
1626,Centaurea,verutum,,,L. 
1632,Centaurea,virgata,,,Lam. 
1635,Centaurea,virgata,var.,squarrosa,Boiss. 
1638,Centaurea,virgata,var.,virgata ,
1639,Centaurium,,,,Hill 
1641,Centaurium,erythraea,,,Rafin. 
1644,Centaurium,erythraea,var.,laxum,(Boiss.) Moût.
1654,Centaurium,erythraea,var.,var.,
1655,Centaurium,erythraea,var.,sanguineum,(Mab.) Greuter 
1658,Centaurium,maritimum,,,L. 
1662,Centaurium,pulchellum,,,(Sw.) Druce 
1668,Centaurium,spicatum,,,(L.) Fritsch 
1671,Centaurium,tenuiflorum,,,(Hoffmanns et Link)
1675,Centaurium,Fritsch ,,,
1692,Centauserratula,x.,,,mouterdei Arènes 
1695,Centranthus,,,,DC.
1697,Centranthus,longinorus,,,Stev.
1700,Centranthus,longinorus,var.,latifolius,Boiss.
1705,Cephalaria,,,,Schrader
1707,Cephalaria,amana,,,Rech. fil.
1710,Cephalaria,cedrorum,,,Mouterde
1712,Cephalaria,dipsacoides,,,Boiss. et Bal.
1717,Cephalaria,dipsacoides,var.,libanotica,Boiss.
1719,Cephalaria,joppensis,,,(Reichenb.) Coult.
1725,Cephalaria,kesruanica,,,Mouterde
1734,Cephalaria,setosa,,,Boiss. et Hohen.
1738,Cephalaria,stellipilis,,,Boiss.
1740,Cephalaria,syriaca,,,(L.) Schrader
1744,Cephalaria,syriaca,subsp.,phoeniciaca,Bobr.
1747,Cephalaria,syriaca,var.,boissieri,(Reut.) Boiss.
1751,Cephalaria,syriaca,var.,sessile,Boiss.
1753,Cephalorrhynchus,,,,Boiss.
1761,Cephalorrhynchus,tuberosus,,,(Stev.) Schchian
1764,Cerinthe,,,,L.
1766,Cerinthe,major,,,L.
1768,Cerinthe,minor,,,L.
1772,Cerinthe,palaestina,,,Eig et Sam.
1782,Chamaemelum,,,,Miller
1796,Chamaemelum,mixtum,,,(L.) AH.
1825,Chardinia,,,,Desf.
1827,Chardinia,orientalis,,,(L.) O. Kuntze
1850,Chondrilla,,,,L.
1852,Chondrilla,juncea,,,L.
1856,Chrysanthemum,,,,L.
1864,Chrysanthemum,coronarium,,,L.
1869,Chrysanthemum,myconis,,,L. 
1872,Chrysanthemum,myconis,var.,bicolor,(Guss.) Hayek 
1878,Chrysanthemum,segetum,,,L. 
1884,Cicendia,,,,Adans. 
1886,Cicendia,filiformis,,,(L.) Delarbre 
1889,Cicerbita,,,,Wallr.
1894,Cicerbita,mulgedioides,,,(Schultz Bip. ex Vis. et Pané.) Beauverd 
1902,Cichorium,,,,L. 
1910,Cichorium,intybus,,,L. 
1912,Cichorium,pumilum,,,Jacq. 
1914,Cionura,,,,Griseb. 
1916,Cionura,erecta,,,(L.) Griseb. 
1919,Cirsium,,,,Miller 
1924,Cirsium,amani,,,Post 
1929,Cirsium,creticum,,,(Lam.) d'Urv.
1933,Cirsium,creticum,subsp.,gaiUardotii,(Boiss.) Davis et Parris
1946,Cirsium,lappaceum,,,(Bieb.) Fischer 
1950,Cirsium,lappaceum,var.,hermonis,Boiss. 
1952,Cirsium,libanoticum,,,DC. 
1954,Cirsium,phyllocephalum,,,Boiss. et Bl. in Boiss. 
1962,Cirsium,siculum,,,Sprengel 
1967,Cirsium,vulgare,,,(Savi) Tenore 
1973,Cistanche,,,,Hoffmannsegg et Link 
1977,Cistanche,phelipaea,,,(L.) Coutinho 
1980,Cistanche,salsa,,,(C.A. Meyer) Beck 
1987,Cistanche,tubulosa,,,(Schenk) R. Wight 
1991,Citrullus,,,,Schrader ex Eyck. et Zeyh. 
1997,Citrullus,colocynthis,,,(L.) Schrader 
2006,Cnicus,,,,L. 
2008,Cnicus,benedictus,,,L. 
2019,Convolvulus,,,,L. 
2023,Convolvulus,althaeoides,,,L. 
2026,Convolvulus,althaeoides,var.,italicus,(Roem. et Schult.) Halàcsy
2033,Convolvulus,arvensis,,,L. 
2035,Convolvulus,betonicifolius,,,Mill. 
2037,Convolvulus,cantabrica,,,L. 
2039,Convolvulus,cassius,,,Sam. ex Rech.  fil. 
2044,Convolvulus,coelesyriacus,,,Boiss. 
