,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1140,Campanula,stricta,,,L. 
1143,Campanula,stricta,var.,libanotica,(A. DC.) Boiss. 
1147,Campanula,strigosa,,,Banks et Sol.
1151,Campanula,sulphurea,,,Boiss. 
1153,Campanula,trachelium,,,L. 
1156,Campanula,trachelium,subsp.,athoa,(Boiss. et Heldr.) Hayek 
1162,Campanula,trachelium,var.,orientalis,Boiss. 
1164,Campanula,trichopoda,,,Boiss. 
1166,Campanula,tubulosa,,,(Boiss.) Engler 
1169,Campanula,virgata,,,Labili. 
1171,Carbenia,,,,Adans.
1173,Carbenia,benedicta,,,(L.) Adans. 
1176,Cardopatium,,,,Juss. 
1178,Cardopatium,corymbosum,,,(L.) Pers. 
1181,Carduncellus,,,,Adans. 
1183,Carduncellus,caeruleus,,,(L.) C. Presl
1187,Carduus,,,,L. 
1189,Carduus,acarna,,,L. 
1191,Carduus,acicularis,,,Bertol. 
1193,Carduus,arabicus,,,Jacq. ex Murray 
1197,Carduus,argentatus,,,L. 
1200,Carduus,argentatus,var.,polycephalus,Post 
1202,Carduus,diacantha,,,Labili. 
1204,Carduus,getulus,,,Pomel
1206,Carduus,lanceolatus,,,L. 
1208,Carduus,lappaceus,,,Bieb. 
1210,Carduus,leucographus,,,L. 
1212,Carduus,marianus,,,L. 
1214,Carduus,nutans,,,L. s.l.
1218,Carduus,nutans,var.,armenus,Boiss. 
1220,Carduus,pycnocephalus,,,L. 
1223,Carduus,pycnocephalus,var.,arabicus,(Jacq. ex Murray) Boiss. 
1228,Carduus,syriacus,,,L. 
1230,Carduus,thoermeri,,,Weinm.
1233,Carduus,thoermeri,subsp.,armenus,(Boiss.) Kazmi
1236,Carduus,tinctorius,,,(L.) Falk
1239,Carduus,vulgaris,,,Savi 
1241,Carlina,,,,L. 
1243,Carlina,corymbosa,,,L.
1246,Carlina,corymbosa,var.,libanotica,(Boiss.) Boiss. 
1249,Carlina,curetum,,,Heldr. ex Hal.
1254,Carlina,curetum,subsp.,orientalis,Meusel et Kâstner
1258,Carlina,hispanica,,,Lam.
1261,Carlina,hispanica,subsp.,galilaea,Meusel et Kàstner
1265,Carlina,involucrata,,,Poiret
1268,Carlina,involucrata,subsp.,libanotica,(Boiss.) Meusel et Kastner
1273,Carlina,kurdica,,,Meusel et Kâstner
1277,Carlina,lanata,,,L.
1279,Carlina,libanotica,,,Boiss.
1281,Carlina,oligocephala,,,Boiss. et Kotschy
1286,Carlina,oligocephala,subsp.,oligocephala,
1287,Carthamus,,,,L.
1289,Carthamus,armenus,,,Willd.
1291,Carthamus,caeruleus,,,L.
1293,Carthamus,corymbosus,,,(L.) L.
1296,Carthamus,dentatus,,,Vahl
1298,Carthamus,flavescens,,,auct. non Willd.
1302,Carthamus,flavescens,,,Willd.
1304,Carthamus,glaucus,,,M. Bieb.
1308,Carthamus,glaucus,var.,tennis,(Boiss. et Bl.) Boiss.
1313,Carthamus,nitidus,,,Boiss.
1315,Carthamus,oxyacanthus,,,M. Bieb.
1318,Carthamus,persicus,,,Willd.
1320,Carthamus,tenuis,,,(Boiss. et Bl.) Bornm.
1326,Carthamus,tenuis,subsp.,foliosus,(Boiss.) Hanelt
1330,Carthamus,tenuis,subsp.,tenuis,
1331,Carthamus,tinctorius,,,L.
1334,Carthamus,tinctorius,var.,oxyacantha,Alef.
1336,Catananche,,,,L.
1338,Catananche,lutea,,,L.
1340,Celsia,,,,L.
1342,Celsia,agrimoniaefolia,,,C. Koch
1345,Celsia,alpina,,,Boiss. et Ky
1349,Celsia,aureiformis,,,Murb.
1351,Celsia,glandulifera,,,Post
1353,Celsia,glandulosa,,,Bouché
1355,Celsia,heterophylla,,,Desf.
1357,Celsia,horizontalis,,,auct. non Moench
1361,Celsia,joannis,,,Bordz.
1363,Celsia,lanceolata,,,Vent.
1365,Celsia,layardii,,,Bail ex Turrill
1369,Celsia,orientalis,,,L.
1371,Celsia,pinetorum,,,Boiss.
1373,Centaurea,,,,L.
1375,Centaurea,ainetensis,,,Boiss.
1377,Centaurea,alata,,,Lam.
1379,Centaurea,ammocyanus,,,Boiss.
1381,Centaurea,araneosa,,,Boiss.
1383,Centaurea,arifolia,,,Boiss.
1385,Centaurea,axillaris,,,Willd.
1387,Centaurea,babylonica,,,(L.) L.
1390,Centaurea,balsamita,,,Lam.
1392,Centaurea,balsamitoides,,,Post
1394,Centaurea,behen,,,L.
1396,Centaurea,blancheana,,,Mouterde
1398,Centaurea,bruguieriana,,,(DC.) Hand.-Mazz.
1402,Centaurea,bruguieriana,subsp.,bruguieriana ,
1403,Centaurea,calcitrapa,,,L 
1405,Centaurea,carduiformis,,,DC.
1408,Centaurea,carduiformis,var.,thrinciifolia,(DC.) Wagenitz
1411,Centaurea,cassia,,,Boiss. 
1413,Centaurea,cerinthifolia,,,Sm. in Sibth. ex Boiss. 
1419,Centaurea,cheiracantha,,,Fenzl ex Boiss. 
1423,Centaurea,cheirolopha,,,(Fenzl) Wagenitz 
1426,Centaurea,coronopifolia,,,Lam. 
1428,Centaurea,crocodylioides,,,Boiss. 
1430,Centaurea,crocodylium,,,L. 
1433,Centaurea,crocodylium,var.,crocodylioides,(Boiss.) Boiss. 
1436,Centaurea,crupinastrum,,,Moris 
1438,Centaurea,cyanoides,,,Berg et Wahlenb. 
1442,Centaurea,cyanus,,,L. 
1444,Centaurea,damascena,,,Boiss. 
1446,Centaurea,delbesiana,,,Arènes 
1448,Centaurea,depressa,,,M. Bieb 
1451,Centaurea,drabifolia,,,Sibth. et Sm.
1456,Centaurea,drabifolia,subsp.,libanotica,(Boiss.) Wagenitz 
1459,Centaurea,dumulosa,,,Boiss. 
1461,Centaurea,eryngioides,,,Lam. 
1464,Centaurea,eryngioides,subsp.,ainetensis,(Boiss.) Bornm.
1468,Centaurea,eryngioides,var.,ainetensis,(Boiss.) Boiss. 
1472,Centaurea,eryngioides,var.,brachyacantha,Boiss. 
